Capital_City_ID,Capital_City
1,Sapporo
2,Aomori
3,Morioka
4,Sendai
5,Akita
6,Yamagata
7,Fukushima
8,Mito
9,Utsunomiya
10,Maebashi
11,Saitama
12,Chiba
13,Tokyo
14,Yokohama
15,Niigata
16,Toyama
17,Kanazawa
18,Fukui
19,Kofu
20,Nagano
21,Gifu
22,Shizuoka
23,Nagoya
24,Tsu
25,Otsu
26,Kyoto
27,Osaka
28,Kobe
29,Nara
30,Wakayama
31,Tottori
32,Matsue
33,Okayama
34,Hiroshima
35,Yamaguchi
36,Tokushima
37,Takamatsu
38,Matsuyama
39,Kochi
40,Fukuoka
41,Saga
42,Nagasaki
43,Kumamoto
44,Oita
45,Miyazaki
46,Kagoshima
47,Naha
